playerId,shortName,firstName,lastName,teamId,teamName,position_code,position_name_ro,role_general,foot,birthDate,nationality,height_cm,weight_kg,matchesPlayed,totalMinutes,total_goals,total_assists,total_shots,total_shotsOnTarget,total_yellowCards,total_redCards,total_passes,total_successfulPasses,total_dribbles,total_successfulDribbles,total_duels,total_duelsWon,total_losses,total_ownHalfLosses,total_dangerousOwnHalfLosses,total_interceptions,total_recoveries,avg_goals,avg_assists,avg_shots,avg_passes,avg_successfulPasses,avg_losses,avg_ownHalfLosses,avg_dangerousOwnHalfLosses,avg_duels,avg_duelsWon,pct_successfulPasses,pct_duelsWon,pct_successfulDribbles,pct_shotsOnTarget,position_name_en,total_matches,total_matchesInStart,total_matchesSubstituted,total_matchesComingOff,total_minutesOnField,total_minutesTagged,total_headShots,total_directRedCards,total_penalties,total_linkupPlays,total_defensiveDuels,total_defensiveDuelsWon,total_offensiveDuels,total_offensiveDuelsWon,total_aerialDuels,total_aerialDuelsWon,total_fouls,total_smartPasses,total_successfulSmartPasses,total_passesToFinalThird,total_successfulPassesToFinalThird,total_crosses,total_successfulCrosses,total_forwardPasses,total_successfulForwardPasses,total_backPasses,total_successfulBackPasses,total_throughPasses,total_successfulThroughPasses,total_keyPasses,total_successfulKeyPasses,total_verticalPasses,total_successfulVerticalPasses,total_longPasses,total_successfulLongPasses,total_defensiveActions,total_successfulDefensiveAction,total_attackingActions,total_successfulAttackingActions,total_freeKicks,total_freeKicksOnTarget,total_directFreeKicks,total_directFreeKicksOnTarget,total_corners,total_successfulPenalties,total_successfulLinkupPlays,total_accelerations,total_pressingDuels,total_pressingDuelsWon,total_looseBallDuels,total_looseBallDuelsWon,total_missedBalls,total_shotAssists,total_shotOnTargetAssists,total_opponentHalfRecoveries,total_dangerousOpponentHalfRecoveries,total_xgShot,total_xgAssist,total_xgSave,total_receivedPass,total_touchInBox,total_progressiveRun,total_offsides,total_clearances,total_secondAssists,total_thirdAssists,total_shotsBlocked,total_foulsSuffered,total_progressivePasses,total_counterpressingRecoveries,total_slidingTackles,total_goalKicks,total_dribblesAgainst,total_dribblesAgainstWon,total_goalKicksShort,total_goalKicksLong,total_successfulProgressivePasses,total_successfulSlidingTackles,total_successfulGoalKicks,total_fieldAerialDuels,total_fieldAerialDuelsWon,total_gkCleanSheets,total_gkConcededGoals,total_gkShotsAgainst,total_gkExits,total_gkSuccessfulExits,total_gkAerialDuels,total_gkAerialDuelsWon,total_gkSaves,total_newDuelsWon,total_newDefensiveDuelsWon,total_newOffensiveDuelsWon,total_newSuccessfulDribbles,total_lateralPasses,total_successfulLateralPasses,avg_passLength,avg_longPassLength,avg_dribbleDistanceFromOpponentGoal,avg_ballRecoveries,avg_defensiveDuels,avg_offensiveDuels,avg_aerialDuels,avg_fouls,avg_smartPasses,avg_passesToFinalThird,avg_crosses,avg_dribbles,avg_headShots,avg_interceptions,avg_successfulDefensiveAction,avg_yellowCards,avg_redCards,avg_directRedCards,avg_successfulAttackingActions,avg_freeKicks,avg_directFreeKicks,avg_corners,avg_penalties,avg_accelerations,avg_looseBallDuels,avg_missedBalls,avg_forwardPasses,avg_backPasses,avg_throughPasses,avg_keyPasses,avg_verticalPasses,avg_longPasses,avg_shotAssists,avg_shotOnTargetAssists,avg_linkupPlays,avg_opponentHalfRecoveries,avg_dangerousOpponentHalfRecoveries,avg_ballLosses,avg_defensiveDuelsWon,avg_offensiveDuelsWon,avg_successfulSmartPasses,avg_successfulCrosses,avg_successfulForwardPasses,avg_successfulBackPasses,avg_successfulThroughPasses,avg_successfulKeyPasses,avg_successfulVerticalPasses,avg_successfulLongPasses,avg_successfulDribbles,avg_defensiveActions,avg_attackingActions,avg_freeKicksOnTarget,avg_directFreeKicksOnTarget,avg_successfulPenalties,avg_successfulLinkupPlays,avg_looseBallDuelsWon,avg_successfulPassesToFinalThird,avg_xgShot,avg_xgAssist,avg_xgSave,avg_receivedPass,avg_touchInBox,avg_progressiveRun,avg_offsides,avg_clearances,avg_secondAssists,avg_thirdAssists,avg_foulsSuffered,avg_progressivePasses,avg_counterpressingRecoveries,avg_slidingTackles,avg_goalKicks,avg_shotsBlocked,avg_shotsOnTarget,avg_successfulProgressivePasses,avg_successfulSlidingTackles,avg_successfulGoalKicks,avg_dribblesAgainst,avg_dribblesAgainstWon,avg_goalKicksShort,avg_goalKicksLong,avg_fieldAerialDuels,avg_fieldAerialDuelsWon,avg_gkConcededGoals,avg_gkShotsAgainst,avg_gkExits,avg_gkAerialDuels,avg_gkSaves,avg_gkSuccessfulExits,avg_gkAerialDuelsWon,avg_newDuelsWon,avg_newDefensiveDuelsWon,avg_newOffensiveDuelsWon,avg_newSuccessfulDribbles,avg_lateralPasses,avg_successfulLateralPasses,pct_defensiveDuelsWon,pct_offensiveDuelsWon,pct_aerialDuelsWon,pct_successfulSmartPasses,pct_successfulPassesToFinalThird,pct_successfulCrosses,pct_headShotsOnTarget,pct_goalConversion,pct_directFreeKicksOnTarget,pct_penaltiesConversion,pct_win,pct_successfulForwardPasses,pct_successfulBackPasses,pct_successfulThroughPasses,pct_successfulKeyPasses,pct_successfulVerticalPasses,pct_successfulLongPasses,pct_successfulShotAssists,pct_successfulLinkupPlays,pct_yellowCardsPerFoul,pct_successfulProgressivePasses,pct_successfulSlidingTackles,pct_successfulGoalKicks,pct_dribblesAgainstWon,pct_fieldAerialDuelsWon,pct_gkSaves,pct_gkSuccessfulExits,pct_gkAerialDuelsWon,pct_newDuelsWon,pct_newDefensiveDuelsWon,pct_newOffensiveDuelsWon,pct_newSuccessfulDribbles,pct_successfulLateralPasses
302018,A. Albu,Alexandru,Albu,11663,FC Unirea Slobozia,lcmf,Mijlocaș Central Dr.,Midfielder,left,8/17/1993,Romania,188,75,13,1139,3,1,17,7,2,0,343,279,9,4,165,61,131,53,12,51,62,0.213,0.073,1.378,26.674,21.63,10.457,4.301,1.058,13.735,5.027,80.188,37.017,21.795,32.052,Left Centre Midfielder,13,12,3,1,1139,1139,7,0,0,0,42,9,32,16,76,33,8,1,1,52,35,8,4,107,76,56,50,3,1,2,2,106,91,26,9,102,87,35,14,1,0,1,0,0,0,0,0,12,0,15,3,14,8,2,27,3,2.86,0.7,0,238,29,5,8,23,1,0,8,8,61,38,9,0,19,10,0,0,40,3,0,76,33,0,0,0,0,0,0,0,0,76,27,13,2,106,91,15.658,34.608,20.423,5.057,3.56,2.545,6.381,0.697,0.073,4.078,0.624,0.715,0.608,4.109,7.262,0.212,0,0,1.044,0.073,0.073,0,0,0,1.248,1.151,8.164,4.554,0.218,0.14,8.127,2.009,0.565,0.14,0,2.1,0.285,0,0.858,1.285,0.073,0.298,5.854,4.025,0.073,0.14,6.879,0.688,0.318,8.515,2.79,0,0,0,0,0.25,2.672,0.218,0.048,0,18.444,2.376,0.464,0.575,1.836,0.073,0,0.57,4.572,3.13,0.846,0,0.628,0.526,3.012,0.251,0,1.555,0.862,0,0,6.381,2.636,0,0,0,0,0,0,0,6.236,2.306,1.045,0.147,8.127,6.879,23.718,50.128,40.358,7.692,58.911,23.077,26.923,15.385,0,0,15.385,70.928,89.102,7.692,15.385,83.682,31.41,26.923,0,11.538,67.03,19.231,0,42.308,40.358,0,0,0,45.687,62.18,42.435,10.256,83.682
302088,D. Armstrong,Danny,Armstrong,11564,Dinamo București,lwf,Atacant Lateral Stg.,Forward,left,10/11/1997,Scotland,175,64,34,2340,6,5,37,22,5,0,803,555,94,66,452,190,366,74,9,59,106,0.135,0.152,0.952,24.967,17.226,11.547,2.365,0.303,14.597,6.048,57.284,43.839,64.951,33.824,Left Wing Forward,34,27,23,7,2340,2340,3,0,3,75,98,20,238,119,59,27,20,3,3,89,51,125,39,225,131,146,132,16,6,12,12,253,179,77,35,166,133,259,118,41,15,2,1,120,3,60,7,40,0,57,24,5,54,12,50,8,5.9,5.99,0,642,60,45,14,13,3,0,1,45,137,60,9,0,26,13,0,0,106,5,0,59,27,0,0,0,0,0,0,0,0,218,65,102,54,253,179,19.375,31.326,25.935,3.179,3.212,7.505,1.948,0.688,0.091,2.629,3.577,2.87,0.064,1.764,4.144,0.159,0,0,3.385,1.247,0.074,3.702,0.083,0.109,1.931,0.149,6.92,4.698,0.492,0.296,7.866,2.497,1.624,0.296,2.463,1.573,0.209,0,0.574,3.73,0.091,1.087,3.867,4.331,0.211,0.296,5.59,1.067,2.017,5.251,7.489,0.462,0.036,0.083,1.981,0.776,1.428,0.142,0.163,0,20.018,1.701,1.234,0.431,0.353,0.084,0,1.464,4.187,1.873,0.275,0,0,0.55,3.134,0.161,0,0.774,0.36,0,0,1.948,0.968,0,0,0,0,0,0,0,7.049,2.104,3.202,1.656,7.866,5.59,21.722,50.823,36.275,8.824,37.038,22.847,5.882,10.294,2.941,5.882,38.235,43.433,71.296,12.745,23.529,60.673,32.633,59.314,45.891,14.706,60.068,13.235,0,22.549,36.275,0,0,0,40.176,50.021,36.739,43.334,60.673
327219,F. Ștefan,Florin,Ștefan,26233,Universitatea Craiova,lwb,Fundaș Stânga,Defender,left,5/9/1996,Romania,183,72,16,1066,0,3,6,2,0,0,595,460,11,6,148,54,155,43,4,49,102,0,0.171,0.378,40.373,31.055,10.691,2.81,0.195,10.652,3.828,60.584,28.102,15.625,9.375,Left Wingback,16,12,8,4,1066,1066,0,0,0,0,58,14,44,16,17,7,8,0,0,69,47,59,14,194,137,127,121,8,2,11,11,192,140,58,26,113,92,76,20,0,0,0,0,2,0,0,3,1,0,29,17,4,13,11,40,5,0.2,1.17,0,483,15,20,0,21,2,0,3,8,107,40,6,0,23,12,0,0,80,4,0,17,7,0,0,0,0,0,0,0,0,75,37,14,4,192,140,18.778,30.467,13.85,7.018,4.322,3.221,1.114,0.554,0,4.438,3.784,0.876,0,3.247,6.454,0,0,0,1.182,0,0,0.092,0,0.212,1.995,0.284,13.126,8.501,0.53,0.646,13.176,3.99,0.821,0.646,0,2.621,0.286,0,1.024,1.091,0,0.746,9.239,8.164,0.118,0.646,9.514,1.79,0.422,8.028,5.037,0,0,0,0,1.241,3.024,0.015,0.065,0,32.994,0.874,1.375,0,1.579,0.059,0,0.589,6.994,2.527,0.459,0,0.206,0.151,5.214,0.303,0,1.946,1.018,0,0,1.114,0.473,0,0,0,0,0,0,0,5.358,2.749,0.896,0.287,13.176,9.514,23.304,21.666,23.958,0,52.902,9.496,0,0,0,0,50,55.608,70.694,8.333,31.25,52.106,31.249,20,0,0,54.332,25,0,39.271,23.958,0,0,0,38.922,52.931,17.812,10.417,52.106
331420,M. Popa,Mihai,Popa,11611,CFR Cluj,gk,Portar,Goalkeeper,right,10/12/2000,Romania,190,75,13,1273,0,0,0,0,4,0,236,166,0,0,8,7,82,18,1,11,30,0,0,0,16.72,11.76,5.801,1.284,0.072,0.564,0.492,69.765,28.205,0,0,Goalkeeper,13,13,0,0,1273,1273,0,0,0,0,1,1,1,1,6,5,0,0,0,39,17,0,0,154,86,0,0,4,1,0,0,71,71,125,61,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.89,171,0,0,0,6,0,0,0,4,91,3,0,99,1,1,20,79,55,0,73,0,0,5,12,56,20,0,6,5,44,7,1,1,0,71,71,38,52.385,0,2.128,0.072,0.072,0.421,0,0,2.758,0,0,0,0.782,0.853,0.284,0,0,0,0,0,0,0,0,0,0,10.902,0,0.285,0,5.042,8.858,0,0,0,0,0,0,0.072,0.072,0,0,6.082,0,0.072,0,5.042,4.323,0,0.853,0,0,0,0,0,0,1.211,0,0,1.116,12.102,0,0,0,0.42,0,0,0.276,6.467,0.215,0,6.997,0,0,3.904,0,5.165,0.072,0.072,1.407,5.592,0,0,0.851,3.945,1.417,0.421,3.095,0,0.348,0.492,0.072,0.072,0,5.042,5.042,7.692,7.692,19.231,0,46.025,0,0,0,0,0,76.923,56.52,0,7.692,0,100,50.222,0,0,0,61.256,0,73.648,7.692,0,76.209,0,19.231,28.205,7.692,7.692,0,100
331434,E. Florescu,Eduard,Florescu,55427,FC Hermannstadt,lcmf3,Mijlocaș Central Dr.,Midfielder,left,6/27/1997,Romania,183,80,28,1706,2,1,44,14,4,1,593,409,64,47,405,161,250,55,5,64,120,0.098,0.049,1.65,22.568,15.509,9.927,2.149,0.256,16.012,6.331,51.578,38.048,54.073,21.726,Left Centre Midfielder,28,18,10,10,1706,1706,4,1,1,3,119,28,183,89,63,30,25,5,4,91,48,38,9,230,142,101,89,8,7,10,10,129,78,60,21,190,145,151,63,23,11,2,0,33,0,2,7,19,0,40,14,6,24,10,67,5,4.09,2.32,0,394,40,49,6,14,0,0,2,31,104,75,7,0,19,7,0,0,71,3,0,63,30,0,0,0,0,0,0,0,0,192,74,74,36,129,78,16.8,31.121,23.843,5.02,4.924,6.906,2.554,1.113,0.142,3.539,1.332,2.24,0.215,2.767,6.015,0.216,0.034,0.034,2.433,0.891,0.103,1.28,0.049,0.284,1.628,0.169,9.126,3.701,0.216,0.264,4.862,2.335,0.822,0.264,0.075,2.829,0.164,0,1.132,3.347,0.108,0.339,5.6,3.24,0.216,0.264,2.944,0.86,1.592,7.996,5.364,0.398,0,0,0.075,0.605,1.903,0.16,0.1,0,14.997,1.407,1.884,0.215,0.579,0,0,1.446,3.907,3.178,0.305,0,0.078,0.655,2.623,0.155,0,0.773,0.221,0,0,2.554,1.248,0,0,0,0,0,0,0,7.648,2.944,2.851,1.331,4.862,2.944,18.787,45.296,39.702,8.929,42.024,8.759,8.929,2.679,0,0,28.571,45.308,60.641,17.857,10.714,44.491,22.933,27.679,7.143,10.714,47.406,10.714,0,11.905,39.702,0,0,0,35.492,47.842,31.929,32.015,44.491
333626,Pedro Nuno,Pedro Nuno,Fernandes Ferreira,11571,FC Oțelul Galați,amf,Mijlocaș Ofensiv,Midfielder,right,1/13/1995,Portugal,174,68,20,1518,6,2,36,18,3,0,697,582,22,15,257,106,181,49,7,42,101,0.33,0.108,1.733,34.176,28.616,8.412,2.199,0.31,12.153,5.01,67.574,44.114,46.666,33.667,Attacking Midfielder,20,17,14,3,1518,1518,2,0,1,0,63,16,113,61,47,19,18,6,1,108,74,41,18,209,142,149,145,17,4,16,15,228,200,64,35,107,79,105,46,22,15,0,0,38,1,0,2,7,0,34,10,12,36,16,52,5,3.56,5.02,0,515,18,14,0,13,1,2,2,54,102,64,2,0,16,6,0,0,84,0,0,47,19,0,0,0,0,0,0,0,0,119,35,55,9,228,200,20.036,35.81,28.75,4.894,3.006,5.405,2.096,0.858,0.31,5.242,2.074,1.087,0.105,2.02,3.818,0.105,0,0,2.374,1.058,0,1.739,0.059,0.1,1.648,0.496,10.216,7.346,0.864,0.854,11.06,3.077,1.741,0.854,0,2.544,0.25,0,0.712,2.937,0.056,0.962,6.972,7.141,0.215,0.803,9.674,1.676,0.784,5.124,5.204,0.719,0,0.059,0,0.448,3.574,0.183,0.249,0,25.368,0.892,0.703,0,0.665,0.051,0.105,2.504,5.026,3.064,0.098,0,0.096,0.876,4.166,0,0,0.711,0.238,0,0,2.096,0.914,0,0,0,0,0,0,0,5.694,1.7,2.634,0.48,11.06,9.674,21.714,48.265,27.916,5,58.685,31.5,5,11.333,0,5,40,55.625,77.625,15.834,33.75,70.338,41.458,49.166,0,12.5,67.19,0,0,16.25,27.916,0,0,0,37.598,40.262,40.004,25,70.338
338220,Miguel Silva,Miguel Ângelo,Gomes da Silva,60374,Universitatea Cluj,lb,Fundaș Lateral Stânga,Defender,left,12/20/1995,Portugal,191,78,17,817,1,0,3,2,0,0,397,304,24,17,197,77,121,51,9,41,80,0.052,0,0.106,22.166,16.899,6.232,2.648,0.678,9.281,3.764,34.981,34.939,37.745,11.765,Left Back,17,5,1,12,817,817,2,0,0,1,80,22,58,31,39,17,11,0,0,39,22,24,6,158,107,73,70,3,0,3,3,99,78,45,19,124,102,51,24,0,0,0,0,0,0,0,3,5,0,20,7,6,3,3,22,2,0.45,0.85,0,274,12,25,0,22,0,0,1,5,85,25,3,0,24,14,0,0,50,1,0,39,17,0,0,0,0,0,0,0,0,111,58,29,16,99,78,18.441,26.014,19.776,4.024,3.615,2.549,2.125,0.451,0,2.216,1.342,1.128,0.052,2.529,5.256,0,0,0,1.084,0,0,0,0,0.104,0.991,0.374,8.909,3.982,0.112,0.09,5.708,2.268,0.09,0.09,0,1.371,0.106,0,0.945,1.563,0,0.345,6.108,3.733,0,0.09,4.482,0.934,0.781,6.289,2.576,0,0,0,0,0.364,1.339,0.019,0.047,0,15.551,0.55,1.329,0,0.994,0,0,0.269,4.958,1.382,0.145,0,0.052,0.106,2.845,0,0,1.08,0.602,0,0,2.125,0.892,0,0,0,0,0,0,0,5.113,2.583,1.274,0.635,5.708,4.482,26.688,34.969,19.048,0,23.655,13.235,5.882,5.882,0,0,17.647,29.909,42.647,0,5.882,36.345,15.576,11.765,0,0,25.71,0,0,22.479,19.048,0,0,0,25.496,33.929,20.314,20.588,36.345
345748,Bruno Paz,Bruno Lourenço,Pinto de Almeida Paz,11571,FC Oțelul Galați,amf,Mijlocaș Ofensiv,Midfielder,right,4/23/1998,Portugal,182,81,13,422,0,0,3,0,2,0,200,162,9,6,96,39,58,23,5,11,43,0,0,0.227,12.373,10.235,4.029,1.729,0.252,5.845,2.744,25.205,35.964,34.615,0,Attacking Midfielder,13,2,2,11,422,422,0,0,0,0,29,8,32,12,24,9,8,0,0,26,15,2,1,68,45,45,43,1,0,0,0,53,49,15,7,41,30,14,6,0,0,0,0,0,0,0,0,3,0,11,10,0,0,0,23,5,0.09,0,0,124,3,6,1,5,0,0,0,3,21,36,1,0,9,4,0,0,14,1,0,24,9,0,0,0,0,0,0,0,0,48,18,11,5,53,49,17.451,26,22.577,2.672,1.723,2.392,1.198,0.391,0,1.268,0.142,0.565,0,0.568,1.873,0.138,0,0,0.427,0,0,0,0,0,0.532,0,4.175,2.57,0,0,3.722,0.759,0,0,0,1.419,0.374,0,0.565,0.99,0,0.142,2.706,2.57,0,0,3.581,0.252,0.565,2.405,0.934,0,0,0,0,0.532,0.765,0.005,0,0,8.013,0.295,0.142,0.114,0.282,0,0,0.285,1.449,2.245,0.114,0,0,0,0.768,0.114,0,0.421,0.142,0,0,1.198,0.656,0,0,0,0,0,0,0,3.09,1.192,0.71,0.285,3.722,3.581,26.154,40,14.103,0,16.154,7.692,0,0,0,0,30.769,20.542,30.769,0,0,29.67,6.41,0,0,3.846,16.025,7.692,0,3.846,14.103,0,0,0,16.151,21.923,7.692,11.538,29.67
346448,D. Popa,Daniel,Popa,11943,Metaloglobus,cf,Atacant Central,Forward,right,7/14/1995,Romania,186,80,7,332,1,0,6,1,0,0,79,58,6,2,69,15,48,15,1,9,6,0,0,0.306,8.911,6.251,6.141,2.063,0.219,7.597,2.523,29.797,19.767,21.429,0,Striker,7,3,3,4,332,332,4,0,0,4,7,0,17,4,22,8,2,0,0,8,4,3,1,21,12,19,16,0,0,0,0,17,12,5,2,18,17,15,4,1,0,1,0,0,0,2,1,8,0,23,3,6,2,0,2,0,1.13,0.12,0,45,8,4,2,6,1,0,0,1,7,5,2,0,0,0,0,0,5,2,0,22,8,0,0,0,0,0,0,0,0,20,6,3,2,17,12,13.18,21.663,24.757,0.589,0.371,2.507,2.594,0.153,0,1.049,0,0.943,0,1.073,1.291,0,0,0,0.219,0.153,0.153,0,0,0.153,2.127,0.741,1.821,2.474,0,0,1.804,0.42,0.306,0,0.637,0,0,0,0,0.589,0,0,0.507,2.474,0,0,1.186,0,0.219,1.444,1.249,0,0,0,0.219,0.524,0.306,0.003,0.019,0,3.784,0.459,0.613,0.219,0.856,0,0,0.219,0.677,0.371,0,0,0,0,0.459,0,0,0,0,0,0,2.594,1.41,0,0,0,0,0,0,0,2.523,0.219,0.371,0.219,1.804,1.186,0,23.571,23.81,0,7.143,0,0,3.571,0,0,14.286,12.857,42.857,0,0,26.19,0,7.143,7.143,0,14.286,0,0,0,23.81,0,0,0,14.053,14.286,6.429,7.143,26.19
346531,V. Pop,Vlad,Pop,11663,FC Unirea Slobozia,rdmf,Mijlocaș Central Stg.,Midfielder,right,8/31/2000,Romania,180,75,29,1857,1,2,12,2,6,0,599,487,23,19,303,105,171,75,14,70,160,0.032,0.031,0.387,22.235,18.074,6.704,2.968,0.447,11.794,4.169,60.948,34.662,43.103,1.724,Left Centre Midfielder,29,20,13,9,1857,1857,1,0,0,0,129,24,89,43,47,22,16,2,0,95,68,9,0,212,142,102,97,5,1,2,2,190,166,63,30,206,157,46,14,0,0,0,0,1,0,0,3,15,0,38,16,7,2,2,60,6,0.47,0.37,0,356,8,12,2,19,0,0,5,12,109,92,7,0,45,17,0,0,75,4,0,47,22,0,0,0,0,0,0,0,0,153,80,35,12,190,166,16.928,27.715,20.841,6.101,4.761,3.514,1.963,0.607,0.071,3.672,0.302,0.857,0.042,2.598,5.634,0.288,0,0,0.476,0,0,0.041,0,0.095,1.56,0.219,7.787,3.89,0.205,0.031,6.986,2.447,0.041,0.031,0,2.251,0.234,0.032,0.751,1.636,0,0,5.248,3.708,0.068,0.031,6.114,1.275,0.691,7.617,1.618,0,0,0,0,0.74,2.661,0.015,0.002,0,13.186,0.283,0.373,0.101,0.809,0,0,0.419,4.179,3.501,0.258,0,0.183,0.032,2.908,0.143,0,1.649,0.572,0,0,1.963,1.044,0,0,0,0,0,0,0,5.891,2.778,1.329,0.444,6.986,6.114,20.39,38.744,26.889,0,48.417,0,0,1.724,0,0,20.69,50.77,67.586,3.448,3.448,63.088,33.03,6.897,0,15.517,47.313,12.069,0,20.977,26.889,0,0,0,38.435,42.973,25.493,23.851,63.088
346541,C. Dur-Bozoancă,Cosmin,Dur-Bozoancă,11571,FC Oțelul Galați,gk,Portar,Goalkeeper,left,2/15/1998,Romania,182,84,31,2992,0,0,0,0,0,0,607,497,0,0,10,7,149,53,5,30,84,0,0,0,18.201,14.933,4.427,1.582,0.149,0.295,0.208,82.403,16.129,0,0,Goalkeeper,31,31,1,0,2992,2992,0,0,0,0,2,1,2,2,6,4,1,0,0,56,25,0,0,374,271,1,0,5,2,0,0,218,216,300,199,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66,446,0,0,0,6,0,0,0,4,209,6,0,214,2,1,83,131,148,0,191,0,0,13,34,133,31,0,6,4,99,7,1,2,0,218,216,33.126,43.429,0,2.593,0.059,0.057,0.178,0.03,0,1.645,0,0,0,0.884,0.914,0,0,0,0,0,0,0,0,0,0,0,11.154,0.031,0.147,0,6.605,8.915,0,0,0,0,0,0,0.03,0.057,0,0,8.093,0,0.061,0,6.545,5.913,0,0.943,0,0,0,0,0,0,0.735,0,0,1.238,13.297,0,0,0,0.179,0,0,0.118,6.205,0.182,0,6.439,0,0,4.385,0,5.766,0.059,0.03,2.548,3.89,0,0,0.997,4.03,0.915,0.178,3.035,0,0.121,0.208,0.03,0.057,0,6.605,6.545,1.613,6.452,9.677,0,33.748,0,0,0,0,0,38.71,73.643,0,4.839,0,96.093,64.549,0,0,0,68.325,0,91.694,1.613,0,69.51,0,9.677,16.129,1.613,6.452,0,96.093
346542,T. Căpușă,Tiberiu,Căpușă,55427,FC Hermannstadt,rcb3,Fundaș Central Dreapta,Defender,right,4/6/1998,Romania,183,74,31,2742,1,0,10,3,5,0,1200,965,28,17,432,163,307,133,24,145,322,0.03,0,0.316,38.382,30.758,9.893,4.206,0.759,13.505,5.071,76.4,36.48,28.548,4.839,Right Centre Back (3 at the back),31,30,8,1,2742,2742,2,0,0,0,201,57,87,36,88,49,28,3,3,190,129,53,21,596,450,102,96,16,6,9,9,341,288,189,94,350,283,94,39,0,0,0,0,0,0,0,6,6,0,56,21,8,16,9,69,7,1.7,2.36,0,755,17,50,1,69,1,0,13,11,283,143,4,0,78,38,0,0,201,2,0,88,49,0,0,0,0,0,0,0,0,228,134,24,12,341,288,19.969,36.304,24.671,10.034,6.23,2.724,2.733,0.89,0.091,6.367,1.692,0.89,0.059,4.43,8.692,0.161,0,0,1.241,0,0,0,0,0.211,1.818,0.22,19.015,3.131,0.56,0.312,11.035,6.116,0.559,0.312,0,2.175,0.218,0.059,1.795,1.104,0.091,0.676,14.312,2.953,0.211,0.312,9.29,3.02,0.539,10.792,2.988,0,0,0,0,0.685,4.308,0.051,0.089,0,24.322,0.485,1.638,0.03,2.077,0.029,0,0.334,9.137,4.426,0.132,0,0.401,0.09,6.454,0.066,0,2.388,1.155,0,0,2.733,1.488,0,0,0,0,0,0,0,7.057,4.132,0.756,0.384,11.035,9.29,26.902,37.65,50.806,6.452,63.163,20.983,3.226,1.613,0,0,22.581,71.328,81.344,12.903,22.581,80.022,48.629,24.194,0,10.752,63.796,6.452,0,36.971,50.806,0,0,0,50.803,64.069,23.641,20.215,80.022
346549,Andrei Ciobanu,Andrei,Virgil Ciobanu,11571,FC Oțelul Galați,amf,Mijlocaș Central Stg.,Midfielder,right,1/18/1998,Romania,176,69,32,1764,3,2,39,11,1,0,826,680,38,28,264,120,187,45,7,45,135,0.104,0.077,1.346,27.518,22.425,6.263,1.493,0.259,8.707,4.026,53.124,43.106,41.667,14.531,Left Centre Midfielder,32,19,16,13,1764,1764,2,0,1,0,69,11,117,73,35,17,7,2,2,123,85,52,20,264,190,162,153,7,2,4,4,236,200,79,44,120,93,131,52,37,23,9,4,49,1,0,1,24,0,43,19,7,29,4,71,14,3.23,3.54,0,580,17,19,0,6,0,1,3,30,127,96,6,0,23,12,0,0,99,5,0,35,17,0,0,0,0,0,0,0,0,136,42,58,19,236,200,17.048,25.394,15.862,4.672,2.245,3.834,1.201,0.243,0.029,4.011,1.815,1.32,0.087,1.577,3.048,0.038,0,0,1.702,1.236,0.286,1.685,0.036,0.036,1.427,0.204,8.716,5.568,0.231,0.108,7.968,2.649,1.063,0.108,0,2.447,0.498,0.03,0.314,2.381,0.029,0.71,6.197,5.246,0.039,0.108,6.662,1.361,0.951,4.039,4.51,0.742,0.094,0.036,0,0.722,2.665,0.116,0.129,0,19.052,0.653,0.602,0,0.204,0,0.03,0.979,4.148,3.287,0.217,0,0.069,0.323,3.219,0.18,0,0.881,0.437,0,0,1.201,0.609,0,0,0,0,0,0,0,4.51,1.253,1.926,0.639,7.968,6.662,12.474,58.755,22.136,3.125,40.294,26.198,0,4.531,6.25,3.125,18.75,46.422,58.439,1.562,9.375,55.538,31.053,21.094,0,1.562,52.626,15.625,0,18.229,22.136,0,0,0,33.818,33.568,34.304,22.656,55.538
